timestamp_s,dt_s,pitch_setpoint,pitch_measurement,pitch_control,roll_setpoint,roll_measurement,roll_control,yaw_setpoint,yaw_measurement,yaw_control
0.120,0.120,0.000,0.026,-0.030,0.000,0.048,-0.216,0.000,1.036,-1.372
0.122,0.001,0.000,0.053,-1.030,0.000,-0.029,-1.216,0.000,0.926,-0.372
0.124,0.000,0.000,0.054,-0.106,0.000,-0.030,-0.835,0.000,0.925,-0.357
0.126,0.001,0.000,0.054,-0.095,0.000,-0.031,-0.622,0.000,0.923,-0.950
0.128,0.001,0.000,0.055,-0.093,0.000,-0.032,-0.535,0.000,0.922,-1.055
0.130,0.001,0.000,0.055,-0.064,0.000,-0.032,-0.421,0.000,0.921,-1.161
0.144,0.000,0.000,0.060,-0.481,0.000,-0.036,-1.421,0.000,0.914,-0.161
0.146,0.001,0.000,0.060,-0.079,0.000,-0.036,-0.421,0.000,0.914,-1.161
0.148,0.001,0.000,0.061,-0.055,0.000,-0.036,-0.196,0.000,0.913,-1.466
0.149,0.000,0.000,0.061,-0.050,0.000,-0.037,-0.228,0.000,0.912,-1.496
0.151,0.001,0.000,0.061,-0.040,0.000,-0.037,-0.285,0.000,0.912,-1.495
0.153,0.001,0.000,0.061,-0.034,0.000,-0.037,-0.333,0.000,0.911,-1.541
0.155,0.001,0.000,0.061,-0.054,0.000,-0.037,-0.115,0.000,0.911,-1.708
0.167,0.001,0.000,0.063,-0.183,0.000,-0.036,0.885,0.000,0.908,-0.708
0.168,0.000,0.000,0.063,-0.055,0.000,-0.035,-0.029,0.000,0.908,-1.708
0.170,0.001,0.000,0.063,-0.051,0.000,-0.035,-0.113,0.000,0.907,-1.840
0.172,0.001,0.000,0.063,-0.034,0.000,-0.036,-0.219,0.000,0.907,-1.901
0.173,0.000,0.000,0.064,-0.044,0.000,-0.036,-0.201,0.000,0.907,-1.977
0.175,0.001,0.000,0.064,-0.061,0.000,-0.036,-0.049,0.000,0.907,-2.069
0.177,0.001,0.000,0.064,-0.060,0.000,-0.035,0.087,0.000,0.907,-2.116
0.191,0.000,0.000,0.065,-0.155,0.000,-0.035,0.048,0.000,0.907,-2.361
0.193,0.001,0.000,0.066,-0.042,0.000,-0.035,-0.153,0.000,0.907,-2.147
0.195,0.001,0.000,0.066,-0.048,0.000,-0.035,-0.098,0.000,0.907,-2.148
0.196,0.000,0.000,0.066,-0.056,0.000,-0.035,0.051,0.000,0.907,-2.103
0.198,0.001,0.000,0.066,-0.044,0.000,-0.034,0.250,0.000,0.907,-2.103
0.200,0.001,0.000,0.066,-0.028,0.000,-0.034,0.216,0.000,0.907,-2.149
0.201,0.000,0.000,0.066,-0.026,0.000,-0.033,0.105,0.000,0.907,-2.150
0.203,0.001,0.000,0.066,-0.040,0.000,-0.033,-0.009,0.000,0.907,-2.104
0.217,0.000,0.000,0.067,-0.115,0.000,-0.031,0.991,0.000,0.906,-1.554
0.219,0.000,0.000,0.067,-0.040,0.000,-0.031,0.081,0.000,0.906,-2.073
0.221,0.001,0.000,0.067,-0.035,0.000,-0.031,-0.003,0.000,0.906,-2.119
0.223,0.001,0.000,0.067,-0.043,0.000,-0.030,-0.078,0.000,0.906,-2.120
0.224,0.000,0.000,0.067,-0.046,0.000,-0.030,-0.042,0.000,0.906,-2.028
0.226,0.001,0.000,0.067,-0.041,0.000,-0.030,0.004,0.000,0.906,-1.922
0.228,0.001,0.000,0.067,-0.031,0.000,-0.030,0.077,0.000,0.906,-1.906
0.242,0.001,0.000,0.066,0.085,0.000,-0.027,1.077,0.000,0.904,-0.906
0.244,0.001,0.000,0.066,-0.010,0.000,-0.027,0.150,0.000,0.904,-1.887
0.245,0.000,0.000,0.066,-0.006,0.000,-0.026,0.159,0.000,0.903,-1.765
0.247,0.001,0.000,0.065,0.009,0.000,-0.026,-0.016,0.000,0.903,-1.734
0.249,0.001,0.000,0.065,0.008,0.000,-0.026,0.048,0.000,0.902,-1.718
0.251,0.001,0.000,0.065,-0.011,0.000,-0.026,0.138,0.000,0.902,-1.703
0.252,0.000,0.000,0.064,-0.006,0.000,-0.025,0.221,0.000,0.902,-1.748
0.267,0.001,0.000,0.061,0.359,0.000,-0.023,1.221,0.000,0.898,-0.748
0.268,0.000,0.000,0.060,0.020,0.000,-0.023,0.221,0.000,0.897,-1.618
0.270,0.001,0.000,0.060,0.009,0.000,-0.022,0.183,0.000,0.897,-1.541
0.272,0.001,0.000,0.059,0.013,0.000,-0.022,0.269,0.000,0.896,-1.525
0.274,0.001,0.000,0.059,0.013,0.000,-0.021,0.337,0.000,0.895,-1.417
0.275,0.000,0.000,0.058,0.021,0.000,-0.021,0.202,0.000,0.895,-1.400
0.277,0.001,0.000,0.058,0.041,0.000,-0.020,0.108,0.000,0.894,-1.353
0.279,0.001,0.000,0.057,0.018,0.000,-0.020,0.046,0.000,0.893,-1.352
0.297,0.001,0.000,0.050,0.714,0.000,-0.022,-0.954,0.000,0.885,-0.352
0.298,0.000,0.000,0.049,0.033,0.000,-0.022,-0.271,0.000,0.884,-1.289
0.300,0.001,0.000,0.049,0.035,0.000,-0.022,-0.215,0.000,0.883,-1.089
0.302,0.001,0.000,0.048,0.016,0.000,-0.023,-0.153,0.000,0.882,-0.980
0.304,0.001,0.000,0.048,0.003,0.000,-0.023,-0.134,0.000,0.881,-0.993
0.305,0.000,0.000,0.048,0.025,0.000,-0.023,-0.178,0.000,0.880,-0.930
0.307,0.001,0.000,0.047,0.016,0.000,-0.023,-0.206,0.000,0.879,-0.989
0.323,0.001,0.000,0.045,0.181,0.000,-0.024,-0.758,0.000,0.868,0.011
0.325,0.001,0.000,0.045,0.018,0.000,-0.024,-0.262,0.000,0.866,-0.766
