timestamp_s,dt_s,pitch_setpoint,pitch_measurement,pitch_command,roll_setpoint,roll_measurement,roll_command,yaw_setpoint,yaw_measurement,yaw_command,throttle
0.111,0.111,-2.175,-11.260,0.000,-2.126,0.807,0.000,0.249,-1.298,0.000,0.000
0.125,0.012,-2.066,-11.263,0.000,-2.294,0.815,0.000,0.288,-1.323,0.000,0.000
0.139,0.012,-2.040,-11.263,0.000,-2.155,0.816,0.000,0.272,-1.325,0.000,0.000
0.152,0.011,-2.107,-11.264,0.000,-2.277,0.817,0.000,0.140,-1.328,0.000,0.000
0.166,0.012,-2.052,-11.264,0.000,-2.244,0.818,0.000,0.222,-1.332,0.000,0.000
0.191,0.011,-2.124,-11.266,0.000,-2.408,0.819,0.000,0.241,-1.338,0.000,0.000
0.204,0.011,-2.081,-11.266,0.000,-2.289,0.819,0.000,0.240,-1.341,0.000,0.000
0.218,0.012,-2.163,-11.267,0.000,-2.394,0.819,0.000,0.366,-1.343,0.000,0.000
0.231,0.011,-2.168,-11.270,0.000,-2.321,0.819,0.000,0.304,-1.345,0.000,0.000
0.245,0.012,-2.062,-11.270,0.000,-2.279,0.819,0.000,0.297,-1.347,0.000,0.000
0.258,0.011,-2.221,-11.270,0.000,-2.279,0.819,0.000,0.347,-1.349,0.000,0.000
0.271,0.011,-1.991,-11.271,0.000,-2.230,0.819,0.000,0.377,-1.351,0.000,0.000
0.297,0.011,-2.117,-11.271,0.000,-2.282,0.819,0.000,0.324,-1.355,0.000,0.000
0.310,0.011,-2.163,-11.271,0.000,-2.332,0.819,0.000,0.405,-1.357,0.000,0.000
0.324,0.012,-2.050,-11.272,0.000,-2.216,0.820,0.000,0.347,-1.358,0.000,0.000
0.338,0.012,-2.038,-11.272,0.000,-2.280,0.821,0.000,0.272,-1.361,0.000,0.000
0.351,0.011,-2.035,-11.271,0.000,-2.187,0.822,0.000,0.292,-1.363,0.000,0.000
0.365,0.012,-2.204,-11.272,0.000,-2.297,0.823,0.000,0.223,-1.367,0.000,0.000
0.378,0.011,-2.143,-11.273,0.000,-2.391,0.822,0.000,0.330,-1.369,0.000,0.000
0.405,0.011,-2.050,-11.271,0.000,-2.317,0.822,0.000,0.234,-1.375,0.000,0.000
0.419,0.012,-2.130,-11.271,0.000,-2.257,0.822,0.000,0.261,-1.379,0.000,0.000
0.432,0.011,-2.109,-11.271,0.000,-2.223,0.823,0.000,0.268,-1.382,0.000,0.000
0.446,0.012,-2.184,-11.272,0.000,-2.285,0.824,0.000,0.279,-1.385,0.000,0.000
0.459,0.011,-2.126,-11.273,0.000,-2.183,0.825,0.000,0.329,-1.387,0.000,0.000
0.472,0.011,-2.075,-11.273,0.000,-2.219,0.826,0.000,0.259,-1.389,0.000,0.000
0.498,0.011,-2.097,-11.273,0.000,-2.219,0.828,0.000,0.296,-1.394,0.000,0.000
0.511,0.011,-2.156,-11.274,0.000,-2.287,0.829,0.000,0.282,-1.397,0.000,0.000
0.525,0.012,-2.083,-11.274,0.000,-2.147,0.830,0.000,0.284,-1.399,0.000,0.000
0.538,0.011,-2.035,-11.274,0.000,-2.220,0.832,0.000,0.280,-1.401,0.000,0.000
0.551,0.011,-2.164,-11.273,0.000,-2.305,0.833,0.000,0.354,-1.404,0.000,0.000
0.565,0.012,-2.030,-11.273,0.000,-2.072,0.836,0.000,0.327,-1.405,0.000,0.000
0.578,0.011,-2.048,-11.272,0.000,-2.264,0.837,0.000,0.294,-1.407,0.000,0.000
0.605,0.011,-2.095,-11.272,0.000,-2.310,0.838,0.000,0.184,-1.413,0.000,0.000
0.618,0.011,-2.120,-11.271,0.000,-2.276,0.838,0.000,0.307,-1.416,0.000,0.000
0.631,0.011,-2.164,-11.272,0.000,-2.216,0.839,0.000,0.376,-1.417,0.000,0.000
0.645,0.012,-2.107,-11.272,0.000,-2.231,0.841,0.000,0.262,-1.420,0.000,0.000
0.658,0.011,-2.035,-11.272,0.000,-2.144,0.842,0.000,0.304,-1.423,0.000,0.000
0.672,0.012,-2.128,-11.273,0.000,-2.218,0.845,0.000,0.271,-1.425,0.000,0.000
0.700,0.012,-2.080,-11.271,0.000,-2.251,0.847,0.000,0.205,-1.432,0.000,0.000
0.713,0.011,-2.044,-11.271,0.000,-2.118,0.849,0.000,0.312,-1.435,0.000,0.000
0.727,0.012,-2.185,-11.272,0.000,-2.158,0.851,0.000,0.314,-1.437,0.000,0.000
0.740,0.011,-2.167,-11.273,0.000,-2.282,0.852,0.000,0.274,-1.439,0.000,0.000
0.754,0.012,-2.220,-11.274,0.000,-2.292,0.852,0.000,0.148,-1.443,0.000,0.000
0.768,0.012,-2.191,-11.276,0.000,-2.276,0.852,0.000,0.272,-1.447,0.000,0.000
0.781,0.011,-2.131,-11.276,0.000,-2.229,0.852,0.000,0.258,-1.449,0.000,0.000
0.807,0.011,-2.126,-11.277,0.000,-2.228,0.854,0.000,0.208,-1.455,0.000,0.000
0.820,0.011,-2.047,-11.277,0.000,-2.226,0.855,0.000,0.282,-1.458,0.000,0.000
0.833,0.011,-2.139,-11.277,0.000,-2.170,0.856,0.000,0.192,-1.461,0.000,0.000
0.847,0.012,-2.110,-11.278,0.000,-2.309,0.856,0.000,0.342,-1.464,0.000,0.000
0.860,0.011,-2.127,-11.278,0.000,-2.339,0.856,0.000,0.280,-1.467,0.000,0.000
0.874,0.012,-2.189,-11.279,0.000,-2.322,0.856,0.000,0.216,-1.469,0.000,0.000
0.908,0.012,-2.129,-11.281,0.000,-2.317,0.856,0.000,0.273,-1.477,0.000,0.000
0.921,0.011,-2.123,-11.280,0.000,-2.254,0.857,0.000,0.244,-1.479,0.000,0.000
0.935,0.012,-2.092,-11.280,0.000,-2.201,0.857,0.000,0.316,-1.482,0.000,0.000
0.948,0.011,-2.073,-11.280,0.000,-2.350,0.857,0.000,0.188,-1.485,0.000,0.000
0.962,0.012,-2.076,-11.279,0.000,-2.212,0.858,-0.009,0.290,-1.488,-0.000,0.400
0.976,0.012,-2.027,-11.279,0.006,-2.221,0.859,-0.141,0.340,-1.490,-0.001,6.400
0.989,0.011,-2.089,-11.278,0.012,-2.277,0.861,-0.256,0.181,-1.494,-0.001,11.600
1.015,0.011,-2.124,-11.279,0.024,-2.282,0.861,-0.488,0.257,-1.499,-0.003,22.000
1.029,0.012,-2.022,-11.279,0.028,-2.228,0.862,-0.612,0.207,-1.503,-0.003,27.600
1.042,0.011,-2.119,-11.278,0.035,-2.322,0.862,-0.729,0.277,-1.506,-0.004,32.800
1.056,0.012,-2.082,-11.278,0.039,-2.284,0.863,-0.855,0.322,-1.508,-0.006,38.400
1.069,0.011,-2.089,-11.277,0.043,-2.296,0.863,-0.952,0.252,-1.511,-0.006,42.800
1.083,0.012,-2.132,-11.278,0.052,-2.146,0.863,-1.076,0.339,-1.515,-0.008,48.400
1.111,0.012,-2.067,-11.278,0.062,-2.251,0.865,-1.331,0.264,-1.519,-0.008,59.600
1.124,0.011,-2.044,-11.277,0.066,-2.316,0.865,-1.451,0.282,-1.523,-0.006,64.800
1.138,0.012,-2.215,-11.278,0.078,-2.296,0.865,-1.577,0.180,-1.526,-0.006,70.400
1.152,0.012,-2.147,-11.278,0.082,-2.246,0.866,-1.703,0.294,-1.529,-0.011,76.000
1.165,0.011,-2.041,-11.278,0.084,-2.207,0.868,-1.818,0.213,-1.532,-0.009,81.200
1.179,0.012,-1.993,-11.278,0.081,-2.273,0.868,-1.824,0.343,-1.534,-0.014,81.200
1.192,0.011,-2.169,-11.277,0.088,-2.413,0.867,-1.832,0.216,-1.537,-0.009,81.200
1.219,0.011,-1.809,-11.274,0.072,-2.190,0.865,-1.830,1.054,-1.545,-0.041,81.200
1.233,0.012,-1.967,-11.278,0.084,-1.806,0.866,-1.814,0.468,-1.536,-0.025,81.200
1.246,0.011,-2.189,-11.280,0.097,-3.040,0.868,-1.860,-1.176,-1.554,0.052,81.200
1.260,0.012,-2.628,-11.281,0.098,-2.076,0.863,-1.830,1.332,-1.557,-0.048,81.200
1.274,0.012,-2.133,-11.278,0.084,-1.518,0.876,-1.802,0.117,-1.550,-0.014,81.200
1.287,0.011,-2.035,-11.282,0.083,-3.181,0.868,-1.880,-0.382,-1.562,0.021,81.200
1.313,0.011,-2.073,-11.284,0.084,-2.169,0.875,-1.839,1.217,-1.563,-0.049,81.200
1.327,0.012,-2.300,-11.280,0.089,-2.590,0.867,-1.855,-0.632,-1.565,0.020,81.200
1.340,0.011,-2.155,-11.284,0.084,-2.225,0.871,-1.845,-0.321,-1.581,0.019,81.200
1.354,0.012,-1.697,-11.285,0.073,-2.105,0.869,-1.841,1.569,-1.574,-0.064,81.200
1.367,0.011,-2.205,-11.283,0.091,-1.726,0.874,-1.830,-0.287,-1.571,0.005,81.200
1.381,0.012,-2.532,-11.286,0.102,-3.249,0.871,-1.892,-0.347,-1.586,0.017,81.200
1.409,0.011,-1.937,-11.285,0.079,-2.239,0.875,-1.855,0.297,-1.583,-0.012,81.200
1.422,0.011,-2.016,-11.284,0.081,-2.580,0.867,-1.883,-0.501,-1.592,0.018,81.200
1.436,0.012,-2.262,-11.290,0.092,-2.015,0.872,-1.850,0.484,-1.600,-0.020,81.200
1.450,0.012,-2.022,-11.290,0.082,-2.496,0.872,-1.871,0.909,-1.593,-0.037,81.200
1.463,0.011,-2.070,-11.285,0.075,-2.189,0.873,-1.857,-0.686,-1.599,0.020,81.200
1.477,0.012,-2.075,-11.284,0.083,-2.544,0.871,-1.879,0.427,-1.611,-0.011,81.200
1.504,0.011,-1.974,-11.285,0.080,-2.286,0.876,-1.870,-0.209,-1.605,0.008,81.200
1.517,0.011,-2.267,-11.283,0.091,-2.644,0.869,-1.892,-0.137,-1.616,0.006,81.200
1.531,0.012,-2.153,-11.286,0.086,-1.838,0.875,-1.855,0.777,-1.616,-0.031,81.200
1.544,0.011,-1.969,-11.286,0.082,-2.432,0.876,-1.871,0.508,-1.612,-0.032,81.200
1.558,0.012,-2.052,-11.284,0.083,-2.233,0.874,-1.872,-0.511,-1.620,0.020,81.200
1.572,0.012,-2.201,-11.286,0.091,-2.107,0.877,-1.875,0.756,-1.626,-0.026,81.200
1.585,0.011,-2.097,-11.287,0.084,-2.246,0.877,-1.876,0.695,-1.619,-0.033,81.200
1.611,0.011,-1.992,-11.283,0.079,-2.320,0.877,-1.891,0.301,-1.634,-0.000,81.200
1.625,0.012,-2.124,-11.285,0.086,-1.983,0.879,-1.874,0.842,-1.631,-0.034,81.200
1.638,0.011,-2.284,-11.286,0.094,-2.428,0.880,-1.892,0.013,-1.631,-0.006,81.200
1.652,0.012,-2.047,-11.285,0.083,-2.177,0.877,-1.886,-0.288,-1.642,0.012,81.200
1.665,0.011,-2.045,-11.284,0.082,-1.922,0.881,-1.873,0.902,-1.643,-0.034,81.200
1.679,0.012,-1.973,-11.285,0.082,-2.498,0.880,-1.895,0.567,-1.637,-0.027,81.200
1.707,0.011,-2.213,-11.283,0.089,-2.112,0.880,-1.894,0.784,-1.649,-0.030,81.200
1.720,0.011,-2.365,-11.286,0.096,-2.072,0.882,-1.891,0.439,-1.645,-0.018,81.200
1.734,0.012,-2.027,-11.287,0.083,-2.502,0.882,-1.905,-0.170,-1.652,0.008,81.200
1.748,0.012,-1.991,-11.287,0.081,-2.085,0.880,-1.896,0.319,-1.659,-0.013,81.200
1.761,0.011,-2.127,-11.288,0.089,-1.968,0.884,-1.887,0.817,-1.655,-0.032,81.200
1.775,0.012,-2.113,-11.288,0.085,-2.543,0.882,-1.920,0.046,-1.657,-0.003,81.200
1.802,0.011,-2.154,-11.288,0.083,-1.983,0.883,-1.902,0.765,-1.663,-0.031,81.200
1.815,0.011,-2.157,-11.291,0.088,-2.285,0.883,-1.914,0.103,-1.662,-0.004,81.200
1.829,0.012,-2.243,-11.293,0.097,-2.564,0.883,-2.031,-0.086,-1.671,0.004,85.600
1.842,0.011,-2.024,-11.293,0.092,-1.990,0.882,-2.131,0.584,-1.674,-0.027,90.800
1.856,0.012,-2.025,-11.292,0.100,-2.094,0.885,-2.267,0.431,-1.671,-0.023,96.400
1.870,0.012,-2.206,-11.294,0.112,-2.456,0.883,-2.422,-0.138,-1.678,0.010,102.000
1.883,0.011,-2.040,-11.295,0.109,-2.040,0.885,-2.526,0.466,-1.684,-0.025,107.200
1.909,0.011,-2.210,-11.298,0.121,-2.397,0.885,-2.595,0.081,-1.683,-0.009,109.200
1.923,0.012,-2.094,-11.299,0.118,-2.391,0.885,-2.634,0.302,-1.690,-0.004,111.200
1.936,0.011,-2.104,-11.299,0.122,-1.988,0.887,-2.750,0.715,-1.688,-0.042,116.400
1.950,0.012,-2.109,-11.300,0.126,-2.202,0.889,-2.893,0.076,-1.689,-0.009,122.000
1.964,0.012,-2.162,-11.301,0.135,-2.444,0.888,-3.030,0.067,-1.697,0.004,126.800
1.977,0.011,-2.148,-11.301,0.139,-2.051,0.888,-3.074,0.779,-1.698,-0.043,129.600
2.003,0.011,-2.235,-11.300,0.154,-2.318,0.889,-3.347,-0.015,-1.700,0.000,140.000
2.016,0.011,-2.184,-11.303,0.156,-2.313,0.890,-3.426,0.264,-1.705,-0.019,143.200
2.030,0.012,-2.171,-11.303,0.155,-2.176,0.890,-3.420,0.754,-1.703,-0.054,143.200
2.044,0.012,-2.138,-11.301,0.155,-2.294,0.889,-3.480,0.030,-1.705,-0.002,145.200
2.057,0.011,-2.146,-11.302,0.156,-2.260,0.890,-3.481,0.252,-1.710,-0.018,145.200
2.071,0.012,-2.248,-11.305,0.157,-2.116,0.892,-3.469,0.605,-1.710,-0.039,145.200
2.099,0.012,-1.870,-11.301,0.136,-2.279,0.891,-3.496,0.021,-1.719,0.001,145.200
2.112,0.011,-2.291,-11.303,0.164,-2.194,0.892,-3.487,0.713,-1.719,-0.050,145.200
2.126,0.012,-2.225,-11.308,0.162,-2.328,0.891,-3.504,0.250,-1.718,-0.018,145.200
2.140,0.012,-1.796,-11.305,0.136,-2.076,0.891,-3.508,-0.220,-1.727,0.016,145.200
2.153,0.011,-1.864,-11.300,0.134,-2.033,0.895,-3.483,0.689,-1.729,-0.047,145.200
2.167,0.012,-2.370,-11.306,0.172,-2.433,0.894,-3.521,0.684,-1.723,-0.050,145.200
2.198,0.011,-1.896,-11.298,0.117,-1.872,0.891,-3.504,0.762,-1.736,-0.033,145.200
2.211,0.011,-2.671,-11.306,0.195,-2.075,0.894,-3.507,0.739,-1.730,-0.058,145.200
2.225,0.012,-2.357,-11.316,0.171,-2.556,0.891,-3.545,-0.372,-1.737,0.027,145.200
2.238,0.011,-1.289,-11.304,0.092,-2.192,0.892,-3.520,0.181,-1.746,-0.006,145.200
2.252,0.012,-2.176,-11.297,0.158,-1.956,0.895,-3.507,1.108,-1.740,-0.080,145.200
2.266,0.012,-2.605,-11.311,0.189,-2.780,0.892,-3.571,-0.363,-1.741,0.026,145.200
2.279,0.011,-1.567,-11.307,0.114,-2.330,0.891,-3.542,-0.219,-1.755,0.016,145.200
2.305,0.011,-3.150,-11.298,0.229,-2.463,0.893,-3.557,0.413,-1.748,-0.030,145.200
