timestamp_s,dt_s,pitch_setpoint,pitch_measurement,pitch_command,roll_setpoint,roll_measurement,roll_command,yaw_setpoint,yaw_measurement,yaw_command,throttle
0.086,0.086,0.000,0.097,-0.101,0.000,0.008,0.018,0.000,-4.367,62.400,62.400
0.100,0.012,0.000,0.086,-0.106,0.000,0.011,0.013,0.000,-4.365,62.400,62.400
0.113,0.011,0.000,0.086,-0.105,0.000,0.011,0.022,0.000,-4.366,62.400,62.400
0.126,0.011,0.000,0.084,-0.101,0.000,0.011,0.016,0.000,-4.365,62.400,62.400
0.139,0.011,0.000,0.083,-0.104,0.000,0.011,-0.008,0.000,-4.365,62.400,62.400
0.163,0.011,0.000,0.085,-0.109,0.000,0.011,0.013,0.000,-4.367,62.400,62.400
0.176,0.011,0.000,0.085,-0.105,0.000,0.011,0.026,0.000,-4.366,62.400,62.400
0.189,0.011,0.000,0.084,-0.106,0.000,0.012,0.009,0.000,-4.365,62.400,62.400
0.202,0.011,0.000,0.084,-0.111,0.000,0.011,-0.001,0.000,-4.365,62.400,62.400
0.215,0.011,0.000,0.085,-0.110,0.000,0.011,0.011,0.000,-4.367,62.400,62.400
0.228,0.011,0.000,0.086,-0.107,0.000,0.011,0.016,0.000,-4.367,62.400,62.400
0.241,0.011,0.000,0.085,-0.106,0.000,0.011,0.008,0.000,-4.366,62.400,62.400
0.261,0.012,0.000,0.086,-0.108,0.000,0.009,-0.001,0.000,-4.366,62.400,62.400
0.274,0.011,0.000,0.085,-0.105,0.000,0.009,0.009,0.000,-4.368,62.400,62.400
0.287,0.011,0.000,0.084,-0.106,0.000,0.010,0.025,0.000,-4.367,62.400,62.400
0.300,0.011,0.000,0.084,-0.108,0.000,0.011,0.030,0.000,-4.367,62.400,62.400
0.313,0.011,0.000,0.084,-0.108,0.000,0.011,0.025,0.000,-4.368,62.400,62.400
0.326,0.011,0.000,0.083,-0.104,0.000,0.012,0.026,0.000,-4.369,62.400,62.400
0.339,0.011,0.000,0.082,-0.106,0.000,0.013,0.018,0.000,-4.370,62.400,62.400
0.363,0.011,0.000,0.083,-0.110,0.000,0.013,0.019,0.000,-4.369,62.400,62.400
0.376,0.011,0.000,0.083,-0.106,0.000,0.014,0.028,0.000,-4.369,62.400,62.400
0.389,0.011,0.000,0.082,-0.105,0.000,0.015,0.033,0.000,-4.370,62.400,62.400
0.402,0.011,0.000,0.083,-0.111,0.000,0.015,0.025,0.000,-4.370,62.400,62.400
0.415,0.011,0.000,0.085,-0.112,0.000,0.016,0.027,0.000,-4.370,62.400,62.400
0.428,0.011,0.000,0.085,-0.108,0.000,0.016,0.027,0.000,-4.370,62.400,62.400
0.452,0.011,0.000,0.085,-0.112,0.000,0.017,0.015,0.000,-4.372,62.400,62.400
0.465,0.011,0.000,0.088,-0.116,0.000,0.017,0.018,0.000,-4.372,62.400,62.400
0.478,0.011,0.000,0.090,-0.111,0.000,0.017,0.022,0.000,-4.373,62.400,62.400
0.491,0.011,0.000,0.089,-0.106,0.000,0.016,0.016,0.000,-4.373,62.400,62.400
0.504,0.011,0.000,0.089,-0.110,0.000,0.016,0.000,0.000,-4.374,62.400,62.400
0.517,0.011,0.000,0.091,-0.117,0.000,0.015,0.007,0.000,-4.375,62.400,62.400
0.530,0.011,0.000,0.094,-0.115,0.000,0.015,0.016,0.000,-4.375,62.400,62.400
0.554,0.011,0.000,0.093,-0.108,0.000,0.014,0.008,0.000,-4.375,62.400,62.400
0.567,0.011,0.000,0.094,-0.113,0.000,0.014,0.005,0.000,-4.375,62.400,62.400
0.580,0.011,0.000,0.096,-0.116,0.000,0.013,0.019,0.000,-4.375,62.400,62.400
0.593,0.011,0.000,0.096,-0.107,0.000,0.014,0.018,0.000,-4.375,62.400,62.400
0.606,0.011,0.000,0.094,-0.098,0.000,0.014,0.021,0.000,-4.375,62.400,62.400
