timestamp_s,dt_s,pitch_setpoint,pitch_measurement,pitch_control,roll_setpoint,roll_measurement,roll_control,yaw_setpoint,yaw_measurement,yaw_control
0.108,0.108,0.000,0.054,0.000,0.000,-0.021,0.000,0.000,-4.442,0.000
0.110,0.001,0.000,0.051,0.000,0.000,-0.030,0.000,0.000,-4.437,0.000
0.112,0.001,0.000,0.051,0.000,0.000,-0.030,0.000,0.000,-4.437,0.000
0.114,0.001,0.000,0.051,0.000,0.000,-0.030,0.000,0.000,-4.437,0.000
0.115,0.000,0.000,0.051,0.000,0.000,-0.030,0.000,0.000,-4.437,0.000
0.117,0.001,0.000,0.050,0.000,0.000,-0.030,0.000,0.000,-4.437,0.000
0.131,0.001,0.000,0.050,0.000,0.000,-0.031,0.000,0.000,-4.436,0.000
0.133,0.001,0.000,0.050,0.000,0.000,-0.031,0.000,0.000,-4.436,0.000
0.134,0.000,0.000,0.050,0.000,0.000,-0.031,0.000,0.000,-4.436,0.000
0.136,0.001,0.000,0.049,0.000,0.000,-0.031,0.000,0.000,-4.436,0.000
0.138,0.001,0.000,0.049,0.000,0.000,-0.031,0.000,0.000,-4.436,0.000
0.139,0.000,0.000,0.049,0.000,0.000,-0.031,0.000,0.000,-4.436,0.000
0.141,0.001,0.000,0.049,0.000,0.000,-0.032,0.000,0.000,-4.436,0.000
0.159,0.001,0.000,0.048,0.000,0.000,-0.033,0.000,0.000,-4.435,0.000
0.160,0.000,0.000,0.048,0.000,0.000,-0.033,0.000,0.000,-4.435,0.000
0.162,0.000,0.000,0.047,0.000,0.000,-0.033,0.000,0.000,-4.435,0.000
0.164,0.001,0.000,0.047,0.000,0.000,-0.033,0.000,0.000,-4.435,0.000
0.166,0.001,0.000,0.047,0.000,0.000,-0.033,0.000,0.000,-4.435,0.000
0.167,0.000,0.000,0.047,0.000,0.000,-0.033,0.000,0.000,-4.435,0.000
0.169,0.001,0.000,0.047,0.000,0.000,-0.033,0.000,0.000,-4.435,0.000
0.170,0.000,0.000,0.046,0.000,0.000,-0.033,0.000,0.000,-4.435,0.000
0.184,0.000,0.000,0.044,0.000,0.000,-0.034,0.000,0.000,-4.435,0.000
0.186,0.001,0.000,0.044,0.000,0.000,-0.035,0.000,0.000,-4.435,0.000
0.188,0.001,0.000,0.044,0.000,0.000,-0.035,0.000,0.000,-4.435,0.000
0.189,0.000,0.000,0.043,0.000,0.000,-0.035,0.000,0.000,-4.435,0.000
0.191,0.000,0.000,0.043,0.000,0.000,-0.035,0.000,0.000,-4.435,0.000
0.193,0.001,0.000,0.043,0.000,0.000,-0.035,0.000,0.000,-4.435,0.000
0.195,0.001,0.000,0.043,0.000,0.000,-0.035,0.000,0.000,-4.435,0.000
0.209,0.001,0.000,0.040,0.000,0.000,-0.036,0.000,0.000,-4.434,0.000
0.210,0.000,0.000,0.040,0.000,0.000,-0.036,0.000,0.000,-4.434,0.000
0.212,0.001,0.000,0.040,0.000,0.000,-0.036,0.000,0.000,-4.434,0.000
0.213,0.000,0.000,0.040,0.000,0.000,-0.037,0.000,0.000,-4.434,0.000
0.215,0.000,0.000,0.039,0.000,0.000,-0.037,0.000,0.000,-4.434,0.000
0.217,0.001,0.000,0.039,0.000,0.000,-0.037,0.000,0.000,-4.434,0.000
0.219,0.001,0.000,0.039,0.000,0.000,-0.037,0.000,0.000,-4.434,0.000
0.220,0.000,0.000,0.038,0.000,0.000,-0.037,0.000,0.000,-4.434,0.000
0.231,0.001,0.000,0.037,0.000,0.000,-0.037,0.000,0.000,-4.434,0.000
0.232,0.000,0.000,0.037,0.000,0.000,-0.037,0.000,0.000,-4.434,0.000
0.234,0.001,0.000,0.036,0.000,0.000,-0.038,0.000,0.000,-4.434,0.000
0.236,0.001,0.000,0.036,0.000,0.000,-0.038,0.000,0.000,-4.434,0.000
0.237,0.000,0.000,0.036,0.000,0.000,-0.038,0.000,0.000,-4.435,0.000
0.239,0.000,0.000,0.036,0.000,0.000,-0.038,0.000,0.000,-4.435,0.000
0.241,0.001,0.000,0.036,0.000,0.000,-0.038,0.000,0.000,-4.435,0.000
0.255,0.001,0.000,0.034,0.000,0.000,-0.038,0.000,0.000,-4.435,0.000
0.256,0.000,0.000,0.034,0.000,0.000,-0.039,0.000,0.000,-4.435,0.000
0.258,0.001,0.000,0.034,0.000,0.000,-0.039,0.000,0.000,-4.435,0.000
