timestamp_s,dt_s,pitch_setpoint,pitch_measurement,pitch_control,roll_setpoint,roll_measurement,roll_control,yaw_setpoint,yaw_measurement,yaw_control
0.122,0.122,0.000,0.049,0.000,0.000,0.013,0.000,0.000,-3.972,0.000
0.124,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.126,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.128,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.130,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.131,0.000,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.146,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.147,0.000,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.149,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.151,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.153,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.154,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.156,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.157,0.000,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.172,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.173,0.000,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.175,0.000,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.177,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.178,0.000,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.180,0.000,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.182,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.974,0.000
0.196,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.973,0.000
0.198,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.973,0.000
0.199,0.000,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.973,0.000
0.201,0.001,0.000,0.047,0.000,0.000,0.014,0.000,0.000,-3.973,0.000
0.203,0.001,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.973,0.000
0.204,0.000,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.973,0.000
0.206,0.001,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.973,0.000
0.207,0.000,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.973,0.000
0.222,0.001,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.974,0.000
0.223,0.000,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.974,0.000
0.225,0.001,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.974,0.000
0.227,0.001,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.974,0.000
0.228,0.000,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.974,0.000
0.230,0.001,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.974,0.000
0.232,0.001,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.974,0.000
0.246,0.001,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.974,0.000
0.248,0.001,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.974,0.000
0.249,0.000,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.974,0.000
0.251,0.001,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.974,0.000
0.253,0.001,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.975,0.000
0.254,0.001,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.975,0.000
0.256,0.001,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.975,0.000
0.257,0.000,0.000,0.047,0.000,0.000,0.013,0.000,0.000,-3.975,0.000
0.272,0.001,0.000,0.048,0.000,0.000,0.013,0.000,0.000,-3.975,0.000
0.273,0.000,0.000,0.048,0.000,0.000,0.013,0.000,0.000,-3.975,0.000
0.275,0.001,0.000,0.048,0.000,0.000,0.013,0.000,0.000,-3.975,0.000
0.277,0.001,0.000,0.048,0.000,0.000,0.013,0.000,0.000,-3.975,0.000
0.278,0.000,0.000,0.048,0.000,0.000,0.013,0.000,0.000,-3.975,0.000
0.280,0.001,0.000,0.048,0.000,0.000,0.013,0.000,0.000,-3.975,0.000
0.282,0.001,0.000,0.048,0.000,0.000,0.013,0.000,0.000,-3.975,0.000
0.296,0.001,0.000,0.048,0.000,0.000,0.013,0.000,0.000,-3.976,0.000
0.297,0.000,0.000,0.048,0.000,0.000,0.013,0.000,0.000,-3.976,0.000
0.299,0.000,0.000,0.049,0.000,0.000,0.013,0.000,0.000,-3.976,0.000
0.301,0.001,0.000,0.049,0.000,0.000,0.013,0.000,0.000,-3.976,0.000
0.302,0.000,0.000,0.049,0.000,0.000,0.013,0.000,0.000,-3.976,0.000
0.304,0.001,0.000,0.049,0.000,0.000,0.013,0.000,0.000,-3.976,0.000
0.306,0.001,0.000,0.049,0.000,0.000,0.013,0.000,0.000,-3.976,0.000
0.307,0.000,0.000,0.049,0.000,0.000,0.013,0.000,0.000,-3.976,0.000
0.323,0.000,0.000,0.049,0.000,0.000,0.012,0.000,0.000,-3.977,0.000
0.325,0.001,0.000,0.049,0.000,0.000,0.012,0.000,0.000,-3.977,0.000
0.327,0.001,0.000,0.049,0.000,0.000,0.012,0.000,0.000,-3.977,0.000
0.328,0.000,0.000,0.049,0.000,0.000,0.012,0.000,0.000,-3.977,0.000
0.330,0.001,0.000,0.049,0.000,0.000,0.012,0.000,0.000,-3.977,0.000
0.332,0.001,0.000,0.049,0.000,0.000,0.012,0.000,0.000,-3.977,0.000
0.333,0.000,0.000,0.049,0.000,0.000,0.012,0.000,0.000,-3.977,0.000
0.351,0.001,0.000,0.050,0.000,0.000,0.011,0.000,0.000,-3.978,0.000
0.352,0.000,0.000,0.050,0.000,0.000,0.011,0.000,0.000,-3.978,0.000
0.354,0.001,0.000,0.050,0.000,0.000,0.011,0.000,0.000,-3.978,0.000
0.356,0.001,0.000,0.050,0.000,0.000,0.011,0.000,0.000,-3.978,0.000
0.357,0.000,0.000,0.050,0.000,0.000,0.011,0.000,0.000,-3.978,0.000
